Date,Open,High,Low,Close,Volume
27-May-14,44.10,44.40,42.40,42.70,547759
23-May-14,46.40,46.40,45.40,45.60,248071
22-May-14,46.30,46.60,45.50,46.40,349548
21-May-14,46.70,47.10,45.80,46.40,509224
20-May-14,48.30,49.40,47.10,47.40,980002
19-May-14,50.70,50.80,48.00,48.30,714992
16-May-14,52.00,52.80,50.00,50.10,640881
15-May-14,52.30,54.40,51.90,52.80,1175596
14-May-14,52.50,52.90,50.80,51.80,514422
13-May-14,51.50,52.30,51.20,52.20,408790
12-May-14,54.00,54.20,51.80,52.00,687604
9-May-14,57.30,58.30,55.20,55.40,618590
8-May-14,56.90,57.80,54.90,57.40,712337
7-May-14,59.10,60.80,56.70,56.80,828928
6-May-14,59.70,59.90,57.80,59.50,720062
5-May-14,61.90,62.50,59.20,59.30,724628
2-May-14,60.20,61.50,59.80,60.50,594819
1-May-14,61.30,61.69,60.20,60.90,458070
30-Apr-14,61.60,62.00,60.30,60.90,649592
29-Apr-14,62.30,62.90,61.00,61.20,782931
28-Apr-14,65.10,66.50,62.50,62.60,1255628
25-Apr-14,65.70,67.50,65.40,65.60,1098309
24-Apr-14,62.40,65.20,62.40,65.00,906962
23-Apr-14,63.30,64.20,62.90,63.11,687551
22-Apr-14,63.30,63.80,62.00,62.70,718012
21-Apr-14,65.00,65.30,63.00,63.20,718615
17-Apr-14,67.50,68.00,65.00,65.00,1108149
16-Apr-14,69.00,70.90,66.60,66.90,1275004
15-Apr-14,72.10,78.70,70.70,71.40,1947308
14-Apr-14,71.60,77.20,70.60,73.10,1332062
11-Apr-14,71.50,75.50,69.60,73.70,2111994
10-Apr-14,63.70,70.30,63.30,69.80,1399966
9-Apr-14,65.10,66.20,63.30,63.40,649522
8-Apr-14,68.40,70.40,65.80,65.80,822617
7-Apr-14,68.60,70.50,67.40,68.70,1443972
4-Apr-14,63.50,68.20,63.00,66.90,1141652
3-Apr-14,65.60,66.90,64.50,64.50,780372
