Date,Open,High,Low,Close,Volume
20-Feb-15,67.06,67.55,66.36,67.37,1038550
19-Feb-15,66.42,67.90,66.42,66.89,1299645
18-Feb-15,65.77,66.99,65.50,66.42,1075537
17-Feb-15,65.51,66.24,64.85,66.00,1140705
13-Feb-15,66.20,66.62,65.67,65.98,1133402
12-Feb-15,65.63,66.40,64.70,66.04,1145000
11-Feb-15,65.13,65.85,64.85,65.59,972559
10-Feb-15,65.54,66.15,65.18,65.76,978307
9-Feb-15,64.29,65.67,64.21,65.43,1311366
6-Feb-15,65.23,65.46,64.04,64.44,1959940
5-Feb-15,65.74,65.99,64.91,65.29,1624588
4-Feb-15,66.40,66.95,65.58,65.66,1764838
3-Feb-15,65.59,66.74,65.22,66.49,2051439
2-Feb-15,66.24,66.47,64.83,65.52,2317454
30-Jan-15,66.90,67.04,65.85,66.24,2603700
29-Jan-15,65.98,67.46,65.82,67.20,2094236
28-Jan-15,67.55,67.69,66.04,66.16,1664951
27-Jan-15,66.13,67.71,65.55,67.48,1901114
26-Jan-15,65.94,66.76,65.18,66.76,2095876
23-Jan-15,65.77,66.71,65.40,66.20,4607730
22-Jan-15,63.03,64.28,62.37,63.76,1996770
21-Jan-15,63.00,63.59,62.52,62.86,1685472
20-Jan-15,63.00,63.23,62.29,63.00,1698109
16-Jan-15,62.25,63.05,61.36,63.00,2405858
15-Jan-15,63.47,63.90,62.05,62.51,2428097
14-Jan-15,62.32,63.40,61.50,63.40,3441674
13-Jan-15,62.70,64.27,62.69,63.06,3620023
12-Jan-15,62.40,63.80,61.36,62.59,10326672
9-Jan-15,58.87,59.22,57.85,58.63,2238051
8-Jan-15,58.25,59.65,58.00,59.07,5225401
7-Jan-15,56.27,58.01,56.16,57.65,5047487
6-Jan-15,55.84,56.15,54.42,55.57,3406183
5-Jan-15,56.34,57.48,55.68,55.96,3152061
2-Jan-15,56.01,56.80,54.65,55.34,1648662
31-Dec-14,55.63,56.93,55.34,55.79,1784348
30-Dec-14,54.50,55.92,54.32,55.75,1544791
29-Dec-14,54.92,56.40,54.72,55.38,2634784
26-Dec-14,54.36,55.03,54.31,54.77,963256
24-Dec-14,54.35,55.00,54.08,54.40,510312
23-Dec-14,53.95,55.16,53.91,54.56,1933156
22-Dec-14,53.89,54.41,53.55,53.96,1776530
19-Dec-14,53.14,53.63,52.54,53.50,2825850
18-Dec-14,54.00,54.10,52.57,53.15,2580884
17-Dec-14,52.57,53.35,52.39,53.24,2302740
16-Dec-14,53.44,53.84,52.35,52.50,3209486
15-Dec-14,52.91,54.41,52.65,53.87,4583091
12-Dec-14,51.09,53.88,50.93,52.95,9110891
11-Dec-14,49.89,52.17,49.65,50.96,15890614
10-Dec-14,48.09,48.72,46.49,46.70,7331631
9-Dec-14,45.72,47.88,45.71,47.73,5860980
8-Dec-14,45.53,45.70,44.36,44.93,3617325
5-Dec-14,45.94,46.11,44.97,45.51,3049215
4-Dec-14,45.90,47.18,45.60,45.92,3486662
3-Dec-14,46.06,46.59,45.39,45.71,2407548
2-Dec-14,46.49,47.00,45.81,46.06,2137458
1-Dec-14,48.19,48.23,46.82,47.04,2826009
28-Nov-14,48.63,48.93,48.12,48.19,968262
26-Nov-14,49.08,49.20,47.86,48.34,1749781
25-Nov-14,47.39,49.34,47.15,48.67,5254318
24-Nov-14,46.90,47.32,46.30,46.93,3844976
21-Nov-14,46.60,47.15,45.94,46.91,2402412
20-Nov-14,45.60,47.18,45.30,45.88,2910664
19-Nov-14,44.97,45.69,44.62,45.60,1549602
