Date,Open,High,Low,Close,Volume
4-Sep-14,1.91,2.10,1.88,1.91,344144
3-Sep-14,1.94,1.98,1.86,1.90,155029
2-Sep-14,1.85,1.96,1.85,1.88,98635
29-Aug-14,1.88,1.94,1.75,1.79,220772
28-Aug-14,1.89,1.91,1.85,1.86,32649
27-Aug-14,1.89,1.94,1.87,1.87,83400
26-Aug-14,1.88,1.97,1.86,1.89,73481
25-Aug-14,1.94,2.00,1.89,1.90,30353
22-Aug-14,1.92,1.95,1.88,1.94,35131
21-Aug-14,1.90,1.90,1.84,1.88,44369
20-Aug-14,1.95,1.95,1.90,1.91,21722
19-Aug-14,1.90,1.92,1.88,1.91,35796
18-Aug-14,1.94,1.94,1.85,1.89,69314
15-Aug-14,2.01,2.02,1.86,1.91,74447
14-Aug-14,2.00,2.02,1.90,1.94,17966
13-Aug-14,1.95,2.00,1.90,1.95,45363
12-Aug-14,1.97,1.98,1.88,1.95,66521
11-Aug-14,2.03,2.03,1.96,2.01,23318
8-Aug-14,2.03,2.05,1.95,2.00,38282
7-Aug-14,2.00,2.05,1.94,2.00,30023
6-Aug-14,2.00,2.02,1.96,2.02,7996
5-Aug-14,2.00,2.06,2.00,2.00,10852
4-Aug-14,2.01,2.11,1.99,2.00,40255
1-Aug-14,2.04,2.04,1.96,1.99,26607
31-Jul-14,2.03,2.03,1.98,2.03,15784
30-Jul-14,2.00,2.07,1.97,2.04,64417
29-Jul-14,2.07,2.07,1.98,2.00,69700
28-Jul-14,2.10,2.29,1.97,2.01,172282
25-Jul-14,2.04,2.04,2.02,2.02,13973
24-Jul-14,2.07,2.07,2.01,2.02,15127
23-Jul-14,2.07,2.09,2.00,2.04,5366
22-Jul-14,2.02,2.06,1.93,2.02,68518
21-Jul-14,2.02,2.15,2.02,2.05,75296
18-Jul-14,2.16,2.16,2.01,2.02,118697
17-Jul-14,2.13,2.16,2.04,2.06,46587
16-Jul-14,2.12,2.20,2.01,2.16,98818
15-Jul-14,2.18,2.18,2.06,2.06,23230
14-Jul-14,2.16,2.18,2.10,2.12,41482
11-Jul-14,2.17,2.17,2.10,2.17,20831
10-Jul-14,2.16,2.17,2.15,2.16,4776
9-Jul-14,2.16,2.19,2.13,2.19,35506
8-Jul-14,2.20,2.21,2.12,2.14,32332
7-Jul-14,2.20,2.21,2.19,2.20,2132
3-Jul-14,2.25,2.26,2.20,2.21,5120
2-Jul-14,2.22,2.29,2.10,2.23,207502
1-Jul-14,2.43,2.43,2.24,2.27,84665
30-Jun-14,2.26,2.43,2.20,2.40,73568
27-Jun-14,2.21,2.30,2.20,2.29,14357
26-Jun-14,2.19,2.23,2.19,2.23,4950
25-Jun-14,2.19,2.22,2.17,2.19,24982
24-Jun-14,2.30,2.30,2.21,2.23,14692
23-Jun-14,2.28,2.34,2.26,2.32,16404
20-Jun-14,2.16,2.33,2.13,2.31,113837
19-Jun-14,2.15,2.24,2.11,2.21,46663
18-Jun-14,2.15,2.23,2.15,2.19,61361
17-Jun-14,2.14,2.19,2.14,2.17,22979
16-Jun-14,2.19,2.20,2.10,2.15,52325
13-Jun-14,2.11,2.23,2.10,2.16,33317
12-Jun-14,2.10,2.24,2.10,2.14,23727
11-Jun-14,2.20,2.21,2.10,2.14,84010
10-Jun-14,2.30,2.30,2.14,2.17,39284
9-Jun-14,2.27,2.30,2.12,2.18,152394
6-Jun-14,2.27,2.32,2.23,2.23,72392
5-Jun-14,2.32,2.34,2.23,2.29,85162
4-Jun-14,2.31,2.34,2.24,2.27,5985
3-Jun-14,2.35,2.35,2.25,2.30,174957
2-Jun-14,2.30,2.32,2.17,2.32,160540
30-May-14,2.13,2.31,2.06,2.22,434628
29-May-14,2.86,2.88,2.60,2.62,247179
28-May-14,2.71,2.82,2.50,2.68,27635
27-May-14,2.76,2.78,2.59,2.64,140583
23-May-14,2.66,2.79,2.66,2.74,30953
22-May-14,2.61,2.75,2.61,2.71,36837
21-May-14,2.53,2.64,2.53,2.64,9756
20-May-14,2.56,2.63,2.56,2.61,13747
19-May-14,2.58,2.63,2.53,2.59,10603
16-May-14,2.61,2.65,2.58,2.61,13911
15-May-14,2.51,2.64,2.51,2.63,18934
14-May-14,2.52,2.65,2.52,2.60,32100
13-May-14,2.70,2.70,2.51,2.64,51639
12-May-14,2.60,2.68,2.60,2.67,11545
9-May-14,2.53,2.69,2.53,2.66,55933
8-May-14,2.59,2.61,2.54,2.60,37175
7-May-14,2.65,2.68,2.52,2.60,122880
6-May-14,2.67,2.69,2.63,2.66,35437
5-May-14,2.66,2.70,2.65,2.66,24097
2-May-14,2.77,2.78,2.68,2.70,43042
1-May-14,2.62,2.80,2.60,2.78,97400
30-Apr-14,2.68,2.68,2.60,2.66,35676
29-Apr-14,2.63,2.73,2.61,2.70,33568
28-Apr-14,2.62,2.76,2.59,2.63,59012
25-Apr-14,2.66,2.67,2.60,2.62,52295
24-Apr-14,2.80,2.80,2.65,2.72,41320
23-Apr-14,2.82,2.89,2.70,2.76,29092
22-Apr-14,2.79,2.88,2.72,2.83,52578
21-Apr-14,2.78,2.84,2.69,2.81,25201
17-Apr-14,2.72,2.81,2.71,2.76,25433
16-Apr-14,2.78,2.89,2.64,2.74,84180
15-Apr-14,2.88,2.95,2.71,2.81,111458
14-Apr-14,2.93,2.97,2.81,2.87,69333
11-Apr-14,2.81,2.94,2.80,2.86,37560
10-Apr-14,3.08,3.08,2.88,2.95,93286
9-Apr-14,3.00,3.14,2.91,3.07,86426
8-Apr-14,2.81,2.99,2.75,2.98,174779
7-Apr-14,2.88,2.88,2.75,2.83,140081
4-Apr-14,3.15,3.17,2.88,2.90,295232
3-Apr-14,3.45,3.52,3.06,3.13,477257
2-Apr-14,3.98,4.25,3.43,3.49,4287620
1-Apr-14,3.11,3.35,3.05,3.30,349188
31-Mar-14,3.02,3.10,2.97,3.08,74702
28-Mar-14,3.02,3.08,3.01,3.01,29847
27-Mar-14,3.00,3.10,2.88,3.08,97690
26-Mar-14,3.27,3.27,2.98,3.01,290302
25-Mar-14,3.40,3.40,3.19,3.25,116174
24-Mar-14,3.50,3.50,3.29,3.40,83168
21-Mar-14,3.90,3.90,3.35,3.55,314627
20-Mar-14,3.64,3.93,3.64,3.90,274509
19-Mar-14,3.66,3.70,3.55,3.60,82583
18-Mar-14,3.60,3.65,3.59,3.65,30342
17-Mar-14,3.49,3.59,3.46,3.59,65992
14-Mar-14,3.40,3.48,3.37,3.46,15592
13-Mar-14,3.40,3.42,3.35,3.35,42423
12-Mar-14,3.45,3.49,3.32,3.41,108923
11-Mar-14,3.44,3.52,3.42,3.45,31768
10-Mar-14,3.42,3.49,3.41,3.44,31346
7-Mar-14,3.54,3.57,3.42,3.43,106281
6-Mar-14,3.56,3.60,3.53,3.55,36689
5-Mar-14,3.58,3.60,3.53,3.55,37205
4-Mar-14,3.60,3.68,3.53,3.61,54934
3-Mar-14,3.57,3.63,3.50,3.62,41556
28-Feb-14,3.63,3.63,3.55,3.61,30081
27-Feb-14,3.51,3.57,3.51,3.55,27094
26-Feb-14,3.58,3.60,3.52,3.54,29971
25-Feb-14,3.56,3.62,3.52,3.55,15585
24-Feb-14,3.66,3.66,3.50,3.53,109632
21-Feb-14,3.63,3.66,3.56,3.64,40319
20-Feb-14,3.59,3.66,3.53,3.60,40428
19-Feb-14,3.63,3.66,3.56,3.62,24902
18-Feb-14,3.65,3.68,3.59,3.64,56507
14-Feb-14,3.69,3.70,3.61,3.64,36709
13-Feb-14,3.50,3.66,3.50,3.65,23885
12-Feb-14,3.61,3.61,3.51,3.53,80266
11-Feb-14,3.66,3.68,3.62,3.63,46896
10-Feb-14,3.66,3.76,3.55,3.72,34993
7-Feb-14,3.70,3.84,3.61,3.69,60654
6-Feb-14,3.61,3.75,3.51,3.70,152328
5-Feb-14,3.48,3.63,3.48,3.61,89183
4-Feb-14,3.55,3.55,3.47,3.50,74688
3-Feb-14,3.61,3.68,3.51,3.52,86908
31-Jan-14,3.60,3.68,3.55,3.62,117334
30-Jan-14,3.54,3.65,3.47,3.60,33820
29-Jan-14,3.57,3.64,3.43,3.50,172479
28-Jan-14,3.54,3.67,3.50,3.59,74460
27-Jan-14,3.86,3.86,3.55,3.56,222022
24-Jan-14,3.92,4.05,3.80,3.89,139317
23-Jan-14,3.82,3.95,3.77,3.92,116563
22-Jan-14,3.74,3.84,3.72,3.81,81004
21-Jan-14,3.65,3.74,3.61,3.71,26006
17-Jan-14,3.58,3.67,3.57,3.64,38785
16-Jan-14,3.54,3.60,3.52,3.58,55300
15-Jan-14,3.57,3.57,3.49,3.51,53243
14-Jan-14,3.46,3.59,3.46,3.52,75464
13-Jan-14,3.59,3.67,3.44,3.48,118872
10-Jan-14,3.68,3.75,3.55,3.60,130699
9-Jan-14,3.64,3.75,3.62,3.65,101762
8-Jan-14,3.73,3.77,3.61,3.61,153878
7-Jan-14,3.48,3.85,3.48,3.66,185652
6-Jan-14,3.50,3.70,3.45,3.50,52159
3-Jan-14,3.50,3.65,3.47,3.50,181097
2-Jan-14,3.43,3.58,3.38,3.47,125118
31-Dec-13,3.36,3.50,3.36,3.40,132602
30-Dec-13,3.34,3.52,3.25,3.32,196731
27-Dec-13,3.42,3.42,3.19,3.23,47029
26-Dec-13,3.34,3.43,3.17,3.19,139454
24-Dec-13,3.28,3.37,3.15,3.31,62332
23-Dec-13,3.35,3.45,3.24,3.29,218256
20-Dec-13,3.01,3.30,2.97,3.25,316214
19-Dec-13,3.03,3.07,2.80,3.02,171538
18-Dec-13,2.83,3.05,2.80,3.02,135618
17-Dec-13,2.70,2.86,2.70,2.84,210742
16-Dec-13,2.80,2.84,2.71,2.76,80720
13-Dec-13,2.81,2.89,2.78,2.80,80978
12-Dec-13,2.82,2.87,2.81,2.83,49426
11-Dec-13,2.87,2.87,2.80,2.83,68150
10-Dec-13,2.86,2.88,2.85,2.85,73847
9-Dec-13,2.89,2.91,2.86,2.86,34876
6-Dec-13,2.94,2.97,2.89,2.90,143359
5-Dec-13,2.90,2.97,2.85,2.89,68811
4-Dec-13,2.95,3.08,2.83,2.89,160721
3-Dec-13,3.12,3.26,2.95,2.98,508603
2-Dec-13,2.96,2.98,2.86,2.88,191799
29-Nov-13,2.79,2.99,2.79,2.94,82749
27-Nov-13,2.74,2.82,2.74,2.77,79653
26-Nov-13,2.75,2.81,2.71,2.74,65430
25-Nov-13,2.87,2.92,2.69,2.74,171895
22-Nov-13,2.92,2.92,2.83,2.89,37849
21-Nov-13,2.83,2.95,2.83,2.91,64435
20-Nov-13,2.81,2.86,2.80,2.82,29857
19-Nov-13,2.81,2.88,2.77,2.82,22540
18-Nov-13,2.82,2.87,2.75,2.83,72173
15-Nov-13,2.93,2.95,2.76,2.84,83936
14-Nov-13,2.94,2.94,2.90,2.91,20168
13-Nov-13,2.92,2.96,2.89,2.92,36176
12-Nov-13,2.90,2.96,2.90,2.95,38821
11-Nov-13,2.89,2.99,2.89,2.96,23144
